Step;New edges;Proportion of new isolated edges
0;23;0.00
1;13;0.00
2;6;0.00
3;8;0.00
4;7;0.00
5;6;0.00
6;7;0.00
7;11;0.09
8;9;0.00
9;7;0.00
10;7;0.14
11;14;0.07
12;7;0.14
13;13;0.08
14;6;0.33
15;10;0.20
16;12;0.25
17;7;0.14
18;22;0.09
19;12;0.17
20;12;0.25
21;11;0.00
22;19;0.05
23;11;0.09
24;18;0.00
25;17;0.06
26;22;0.05
27;17;0.00
28;14;0.07
29;21;0.19
30;30;0.13
31;16;0.12
32;22;0.00
33;18;0.11
34;31;0.00
35;29;0.10
36;28;0.04
37;33;0.03
38;37;0.00
39;28;0.00
40;26;0.00
41;33;0.00
42;45;0.07
43;52;0.04
44;47;0.02
45;65;0.00
46;55;0.02
47;45;0.02
48;56;0.02
49;65;0.00
50;63;0.00
51;52;0.00
52;66;0.00
53;82;0.01
54;80;0.01
55;76;0.00
56;97;0.00
57;111;0.00
58;115;0.00
59;113;0.01
60;110;0.00
61;105;0.00
62;155;0.00
63;145;0.00
64;151;0.00
65;145;0.00
66;199;0.00
67;198;0.00
68;208;0.00
69;199;0.00
70;229;0.00
71;274;0.00
72;258;0.00
73;277;0.00
74;295;0.00
75;314;0.00
76;368;0.00
77;388;0.00
78;450;0.00
79;481;0.00
80;485;0.00
81;517;0.00
82;607;0.00
83;629;0.00
84;776;0.00
85;838;0.00
86;948;0.00
87;1056;0.00
88;1219;0.00
89;1391;0.00
90;1817;0.00
91;2086;0.00
92;2692;0.00
93;3884;0.00
94;6488;0.00
95;14668;0.00
